Chinese_Lemma,English_Translation,POS
发愁,to worry,NOUN
发抖,to tremble,NOUN
发挥,to display,NOUN
发明,to invent,NOUN
发票,invoice,NOUN
发表,to issue,NOUN
发言,to make a speech,NOUN
发达,developed (country etc),NOUN
取消,to cancel,NOUN
受伤,to sustain injuries,NOUN
叙述,to relate (a story or information),NOUN
口味,a person's preferences,NOUN
古代,ancient times,NOUN
古典,classical,NOUN
古老,ancient,NOUN
召开,to convene (a conference or meeting),NOUN
可怕,awful,NOUN
可见,it can clearly be seen (that this is the case),NOUN
可靠,reliable,NOUN
台阶,steps,NOUN
吃亏,to suffer losses,NOUN
各自,each,NOUN
合作,to cooperate,NOUN
合同,(business) contract,NOUN
合影,joint photo,NOUN
合法,lawful,NOUN
合理,rational,NOUN
同时,at the same time,NOUN
名片,(business) card,NOUN
名牌,famous brand,NOUN
名胜,a place famous for its scenery or historical relics,NOUN
后果,consequences,NOUN
吐,to vomit,NOUN
吓,to frighten,NOUN
否定,to negate,NOUN
否认,to declare to be untrue,NOUN
吨,ton,NOUN
启发,to enlighten,NOUN
吵架,to quarrel,NOUN
吸收,to absorb,NOUN
吹,to blow,NOUN
吻,kiss,NOUN
呆,foolish,NOUN
告别,to leave,NOUN
周到,thoughtful,NOUN
呼吸,to breathe,NOUN
命令,order,NOUN
命运,fate,NOUN
和平,peace,NOUN
咨询,to consult,NOUN
咬,to bite,NOUN
品种,breed,NOUN
哈,laughter,NOUN
哪怕,even,NOUN
哲学,philosophy,NOUN
唉,interjection or grunt of agreement,NOUN
唯一,only,NOUN
商业,business,NOUN
商品,good,NOUN
善于,to be good at,NOUN
善良,good and honest,NOUN
喊,to yell,NOUN
嗓子,throat,NOUN
嘉宾,esteemed guest,NOUN
嘱咐,to tell,NOUN
嚷,blurt out,NOUN
因素,element,NOUN
因而,therefore,NOUN
团,dumpling,NOUN
围巾,scarf,NOUN
围绕,to revolve around,NOUN
固体,solid,NOUN
固定,fixed,NOUN
国庆节,PRC National Day (October 1st),NOUN
国籍,nationality,NOUN
圈,circle,NOUN
土地,land,NOUN
土豆,potato,NOUN
地位,position,NOUN
地区,local,NOUN
地毯,carpet,NOUN
地理,geography,NOUN
地道,authentic,NOUN
地震,earthquake,NOUN
均匀,even,NOUN
坚决,firm,NOUN
坚强,staunch,NOUN
坦率,frank (discussion),NOUN
培养,to cultivate,NOUN
基本,basic,NOUN
堆,to pile up,NOUN
塔,pagoda,NOUN
士兵,soldier,NOUN
声调,tone,NOUN
壶,pot,NOUN
处理,to handle,NOUN
复制,to duplicate,NOUN
外交,diplomacy,NOUN
多亏,thanks to,NOUN
多余,superfluous,NOUN
夜,night,NOUN
大型,large,NOUN
大方,generous,NOUN
大象,elephant,NOUN
天真,naive,NOUN
天空,sky,NOUN
太太,married woman,NOUN
太极拳,shadowboxing or Taiji,NOUN
失业,unemployment,NOUN
失去,to lose,NOUN
失眠,to suffer from insomnia,NOUN
夸,to boast,NOUN
夹子,clip,NOUN
奇迹,miracle,NOUN
奋斗,to strive,NOUN
套,cover,NOUN
女士,lady,NOUN
好奇,inquisitive,NOUN
如今,nowadays,NOUN
如何,how,NOUN
妇女,woman,NOUN
妨碍,to hinder,NOUN
始终,from beginning to end,NOUN
姑姑,paternal aunt,NOUN
姑娘,girl,NOUN
委屈,to feel wronged,NOUN
委托,to entrust,NOUN
姥姥,(informal) mother's mother,NOUN
姿势,posture,NOUN
威胁,to threaten,NOUN
娱乐,to entertain,NOUN
娶,to take a wife,NOUN
婚姻,matrimony,NOUN
婚礼,wedding ceremony,NOUN
嫁,(of a woman) to marry,NOUN
嫩,tender,NOUN
字幕,caption,NOUN
存,to exist,NOUN
存在,to exist,NOUN
孝顺,filial piety,NOUN
学期,term,NOUN
学术,learning,NOUN
学问,learning,NOUN
宁可,preferably,NOUN
宇宙,universe,NOUN
安慰,to comfort,NOUN
安装,to install,NOUN
完善,perfect,NOUN
完整,complete,NOUN
完美,perfect,NOUN
宗教,religion,NOUN
官,official,NOUN
宝贝,treasured object,NOUN
宝贵,valuable,NOUN
实习,to practice,NOUN
实现,to achieve,NOUN
实用,practical,NOUN
实行,to implement,NOUN
实话,truth,NOUN
实践,to practice,NOUN
实验,experiment,NOUN
宠物,house pet,NOUN
客厅,drawing room (room for arriving guests),NOUN
客观,objective,NOUN
宣传,to disseminate,NOUN
宣布,to declare,NOUN
宴会,banquet,NOUN
家乡,hometown,NOUN
家务,household duties,NOUN
家庭,family,NOUN
宿舍,dormitory,NOUN
寂寞,lonely,NOUN
密切,close,NOUN
对于,regarding,NOUN
对待,to treat,NOUN
对手,opponent,NOUN
对方,counterpart,NOUN
对比,to contrast,NOUN
对象,target,NOUN
寺庙,temple,NOUN
寻找,to seek,NOUN
导演,to direct,NOUN
导致,to lead to,NOUN
寿命,life span,NOUN
射击,to shoot,NOUN
尊敬,respect,NOUN
小伙子,young man,NOUN
小偷,thief,NOUN
小吃,snack,NOUN
小气,stingy,NOUN
小麦,wheat,NOUN
尖锐,sharp,NOUN
尺子,rule,NOUN
尽力,to strive one's hardest,NOUN
尽量,as much as possible,NOUN
尾巴,tail,NOUN
居然,unexpectedly,NOUN
届,to arrive at (place or time),NOUN
屋子,house,NOUN
展开,to unfold,NOUN
展览,to put on display,NOUN
属于,to be classified as,NOUN
岛,island,NOUN
岸,bank,NOUN
工业,industry,NOUN
工人,worker,NOUN
工厂,factory,NOUN
工程师,engineer,NOUN
巧妙,ingenious,NOUN
巨大,huge,NOUN
差别,difference,NOUN
布,cloth,NOUN
常识,common sense,NOUN
幅,width,NOUN
干活儿,to work,NOUN
干脆,straightforward,NOUN
平,flat,NOUN
平均,average,NOUN
平常,ordinary,NOUN
平方,square (as in square foot,NOUN
平等,equal,NOUN
平衡,balance,NOUN
平静,tranquil,NOUN
年代,a decade of a century (e.g. the Sixties),NOUN
年纪,age,NOUN
幸亏,fortunately,NOUN
幸运,fortunate,NOUN
幻想,delusion,NOUN
幼儿园,kindergarten,NOUN
广场,public square,NOUN
广大,(of an area) vast or extensive,NOUN
广泛,extensive,NOUN
庆祝,to celebrate,NOUN
应付,to deal with,NOUN
应用,to use,NOUN
应聘,to accept a job offer,NOUN
废话,nonsense,NOUN
度过,to pass,NOUN
延长,to prolong,NOUN
建立,to establish,NOUN
建筑,to construct,NOUN
建议,to propose,NOUN
建设,to build,NOUN
开发,to exploit (a resource),NOUN
开幕式,opening ceremony,NOUN
开心,to feel happy,NOUN
开放,to bloom,NOUN
弯,bend,NOUN
弱,weak,NOUN
强烈,intense,NOUN
强调,to emphasize (a statement),NOUN
当代,the present age,NOUN
录取,to recruit,NOUN
录音,to record (sound),NOUN
形势,circumstances,NOUN
形容,to describe,NOUN
形式,form,NOUN
形成,to form,NOUN
形状,form,NOUN
形象,image,NOUN
彩虹,rainbow,NOUN
影子,shadow,NOUN
彻底,thorough,NOUN
彼此,each other,NOUN
往返,to go back and forth,NOUN
征求,to solicit,NOUN
待遇,treatment,NOUN
微笑,smile,NOUN
心理,mental / psychological,NOUN
心脏,heart,NOUN
必然,inevitable / necessary,NOUN
必要,necessary,NOUN
必需,to need,NOUN
忍不住,cannot help,NOUN
志愿者,volunteer,NOUN
念,to read,NOUN
忽视,to neglect,NOUN
怀念,to cherish the memory of,NOUN
思想,thought,NOUN
思考,to reflect on,NOUN
急忙,hastily,NOUN
性质,nature,NOUN
怪不得,no wonder!,NOUN
总之,in a word,NOUN
总共,altogether,NOUN
总理,premier,NOUN
总算,at long last,NOUN
总统,president (of a country),NOUN
总裁,chairman,NOUN
恋爱,(romantic) love,NOUN
恐怖,terrifying / terrible,NOUN
恢复,to reinstate,NOUN
恨,to hate,VERB
恶劣,vile,NOUN
悄悄,quietly,NOUN
悠久,established,NOUN
悲观,pessimistic,NOUN
情景,scene,NOUN
情绪,mood,NOUN
惭愧,ashamed,NOUN
想念,to miss,NOUN
想象,to imagine,NOUN
意义,sense,NOUN
意外,unexpected,NOUN
感受,to sense,NOUN
感想,impressions,NOUN
感激,to be grateful,NOUN
愤怒,angry,NOUN
愿望,desire,NOUN
慌张,confused,NOUN
戏剧,drama / theater,NOUN
成分,composition,NOUN
成就,accomplishment,NOUN
成果,result,NOUN
成立,to establish,NOUN
成语,Chinese set expression,NOUN
成长,to mature,NOUN
戒指,(finger) ring,NOUN
戒烟,to give up smoking,NOUN
战争,war,NOUN
房东,landlord,NOUN
所,actually,PART
所谓,so-called,NOUN
扇子,fan,NOUN
手套,glove,NOUN
手工,handwork,NOUN
手指,finger,NOUN
手术,(surgical) operation,NOUN
手续,procedure,NOUN
打交道,to come into contact with,NOUN
打听,to ask about,NOUN
打喷嚏,to sneeze,NOUN
打工,to work a temporary or casual job,NOUN
打招呼,to greet sb by word or action,NOUN
执照,a license,NOUN
执行,to implement,NOUN
扶,to support with the hand,NOUN
批,to ascertain,NOUN
批准,to approve,NOUN
承受,to bear,NOUN
承担,to undertake,NOUN
承认,to admit,NOUN
抄,to make a copy,NOUN
把握,to grasp (also fig.),NOUN
抓紧,to grasp firmly,NOUN
投资,investment,NOUN
抗议,to protest,NOUN
抢,to fight over,NOUN
报告,to inform,NOUN
披,to drape over one's shoulders,NOUN
抽屉,drawer,NOUN
抽象,abstract,NOUN
担任,to hold a governmental office or post,NOUN
拆,to tear open,NOUN
拍,to pat,NOUN
拐弯,to go round a curve,NOUN
招待,to receive (guests),NOUN
拥抱,to embrace,NOUN
拥挤,crowded,NOUN
拦,to cut off,NOUN
持续,to continue,NOUN
挂号,to register (a letter etc),NOUN
指导,to guide,NOUN
指挥,to conduct,NOUN
挑战,to challenge,NOUN
挡,to resist,NOUN
挣钱,to make money,NOUN
挥,to wave,NOUN
振动,vibration,NOUN
捐,to contribute,NOUN
损失,loss,NOUN
捡,to pick up,NOUN
据说,it is said that,NOUN
掌握,to grasp (often fig.),NOUN
排球,volleyball,NOUN
排队,to line up,NOUN
接待,to receive (a visitor),NOUN
接着,to catch and hold on,NOUN
接触,to touch,NOUN
接近,to approach,NOUN
控制,to control,NOUN
推广,to extend,NOUN
推荐,to recommend,NOUN
推辞,to decline (an appointment,NOUN
措施,measure,NOUN
描写,to describe,NOUN
提,to carry (hanging down from the hand),NOUN
提倡,to promote,NOUN
提纲,the key point,NOUN
提问,to question,NOUN
插,to insert,NOUN
搞,to do,NOUN
摄影,to take a photograph,NOUN
摆,to arrange,NOUN
摇,to shake,NOUN
摔,to throw down,NOUN
摘,to take,NOUN
摩托车,motorbike,NOUN
摸,to feel with the hand,NOUN
撕,to tear,NOUN
操场,playground,NOUN
操心,to worry about,NOUN
支,to support,NOUN
支票,check (bank),NOUN
收据,receipt,NOUN
收获,to harvest,NOUN
改善,to make better,NOUN
改正,to correct,NOUN
改进,to improve,NOUN
改革,reform,NOUN
放松,to loosen,NOUN
政府,government,NOUN
政治,politics,NOUN
政策,policy,NOUN
效率,efficiency,NOUN
敌人,enemy,NOUN
救,to save,NOUN
救护车,ambulance,NOUN
教材,teaching material,NOUN
教练,instructor,NOUN
教训,lesson,NOUN
敬爱,respect and love,NOUN
数据,data,NOUN
数码,number,NOUN
整个,whole,NOUN
整体,whole entity,NOUN
文件,document,NOUN
文具,stationery,NOUN
文学,literature,NOUN
文明,civilized,NOUN
斜,inclined,NOUN
方,square,NOUN
方式,way (of life),NOUN
方案,plan / scheme,NOUN
无奈,helpless,NOUN
无数,countless,NOUN
日历,calendar,NOUN
日常,daily,NOUN
日期,date,NOUN
日用品,articles for daily use,NOUN
日程,schedule,NOUN
时代,age,NOUN
时刻,moment,NOUN
时尚,fashion,NOUN
时期,period,NOUN
时髦,in vogue,NOUN
明信片,postcard,NOUN
明星,star,NOUN
明显,clear,NOUN
明确,clear-cut,NOUN
是否,whether (or not),NOUN
显得,to seem,NOUN
显然,clear,NOUN
显示,to show,NOUN
晒,to dry in the sun,NOUN
晕,confused,NOUN
景色,scenery,NOUN
智慧,wisdom,NOUN
更加,more (than sth else),NOUN
曾经,once,NOUN
最初,first,NOUN
有利,advantageous,NOUN
服从,to obey (an order),NOUN
服装,dress,NOUN
朝,imperial or royal court,NOUN
朝代,dynasty,NOUN
期待,to look forward to,NOUN
期间,period of time,NOUN
木头,slow-witted,NOUN
未必,not necessarily,NOUN
未来,future,NOUN
本科,undergraduate course,NOUN
本质,essence,NOUN
本领,skill,NOUN
朴素,plain and simple,NOUN
机器,machine,NOUN
杀,to kill,NOUN
权利,power,NOUN
权力,power,NOUN
来自,to come from (a place),NOUN
构成,to constitute,NOUN
枕头,pillow,NOUN
果实,fruit,NOUN
枪,gun,NOUN
某,some,NOUN
柜台,sales counter,NOUN
标志,sign,NOUN
标点,punctuation,NOUN
样式,type,NOUN
核心,core,NOUN
根,root,NOUN
根本,fundamental / root,NOUN
格外,especially,NOUN
桃,peach,NOUN
桔子,tangerine,NOUN
梨,pear,NOUN
梳子,comb,NOUN
棉花,cotton,NOUN
棒,a stick,NOUN
概念,concept,NOUN
概括,to summarize,NOUN
模仿,to imitate,NOUN
模糊,vague,NOUN
横,horizontal,NOUN
橡皮,rubber,NOUN
欠,deficient,NOUN
次要,secondary,NOUN
欣赏,to appreciate,NOUN
歇,to rest,NOUN
正,just (right),NOUN
此外,besides,NOUN
步骤,procedure,NOUN
武器,weapon,NOUN
武术,military skill or technique (in former times),NOUN
歪,askew,NOUN
残疾,disabled,NOUN
比例,proportion,NOUN
比如,for example,NOUN
毕竟,after all,NOUN
毛,hair,NOUN
毛病,fault,NOUN
民主,democracy,NOUN
气氛,atmosphere,NOUN
汇率,exchange rate,NOUN
池子,pond,NOUN
汽油,gasoline,NOUN
沉默,taciturn,NOUN
沙滩,beach,NOUN
沙漠,desert,NOUN
沟通,to join,NOUN
油炸,to deep fry,NOUN
治疗,to treat,NOUN
法院,court of law,NOUN
注册,to register,NOUN
洒,to sprinkle,NOUN
洞,cave,NOUN
活跃,active,NOUN
派,clique,NOUN
流传,to spread,NOUN
浅,shallow,NOUN
浇,to pour liquid,NOUN
测验,test,NOUN
浏览,to skim over,NOUN
浓,concentrated,NOUN
海关,customs (i.e. border crossing inspection),NOUN
海鲜,seafood,NOUN
消化,to digest,NOUN
消失,to disappear,NOUN
消灭,to put an end to,NOUN
消费,to consume,NOUN
涨,to rise (of prices,NOUN
液体,liquid,NOUN
淡,insipid,NOUN
深刻,profound,NOUN
清淡,light (of food,NOUN
温暖,warm,NOUN
温柔,gentle and soft,NOUN
游览,to go sight-seeing,NOUN
滑冰,to skate,NOUN
滚,to boil,NOUN
满足,to satisfy,NOUN
滴,a drop,NOUN
漏,to leak,NOUN
激烈,intense,NOUN
火柴,match (for lighting fire),NOUN
灰,ash,NOUN
灰尘,dust,NOUN
灰心,to lose heart,NOUN
灵活,flexible,NOUN
灾害,disastrous damage,NOUN
炒,to sauté,NOUN
点头,to nod,NOUN
点心,light refreshments,NOUN
烂,soft,NOUN
烤鸭,roast duck,NOUN
烫,to scald,NOUN
热心,enthusiasm,NOUN
热烈,warm (welcome etc),NOUN
热爱,to love ardently,NOUN
煎,to pan fry,NOUN
煤炭,coal,NOUN
照常,(business etc) as usual,NOUN
煮,to cook,NOUN
熟练,practiced,NOUN
燃烧,to ignite,NOUN
爱心,compassion,NOUN
爱惜,to cherish,NOUN
爱护,to cherish,NOUN
片,thin piece,NOUN
片面,unilateral,NOUN
牛仔裤,jeans,NOUN
物理,physics,NOUN
物质,matter,NOUN
牵,to pull (an animal on a tether),NOUN
特征,characteristic,NOUN
特意,specially,NOUN
特殊,special,NOUN
状况,condition,NOUN
状态,state of affairs,NOUN
犹豫,to hesitate,NOUN
狡猾,crafty,NOUN
独特,unique,NOUN
独立,independent,NOUN
狼,wolf,NOUN
玉米,corn,NOUN
王子,prince,NOUN
玩具,plaything,NOUN
现实,reality,NOUN
现象,appearance,NOUN
现金,cash,NOUN
玻璃,glass,NOUN
珍惜,to treasure,NOUN
班主任,teacher in charge of a class,NOUN
球迷,soccer fan,NOUN
理由,reason,NOUN
理论,theory,NOUN
生产,childbirth,NOUN
生动,vivid,NOUN
用途,use,NOUN
甩,to throw,NOUN
田野,field,NOUN
甲,first of the ten heavenly stems 十天干[shí tiān gān],NOUN
电台,transmitter-receiver,NOUN
电池,battery,NOUN
疑问,question,NOUN
疯狂,madness,NOUN
疲劳,fatigue,NOUN
疼爱,to love dearly,NOUN
病毒,virus,NOUN
痒,to itch,NOUN
痛快,overjoyed,NOUN
痛苦,pain,NOUN
登机牌,boarding pass,NOUN
登记,to register (one's name),NOUN
的确,really,NOUN
皇后,empress,NOUN
皇帝,emperor,NOUN
皮鞋,leather shoes,NOUN
盆,basin,NOUN
盖,lid,NOUN
目前,at the present time,NOUN
目录,catalog,NOUN
目标,target,NOUN
直,straight,NOUN
相似,to resemble,NOUN
相关,to be interrelated,NOUN
相处,to be in contact with,NOUN
相对,relatively,NOUN
相当,equivalent to,NOUN
盼望,to hope for,NOUN
省略,to leave out,NOUN
眉毛,eyebrow,NOUN
看不起,to look down upon,NOUN
看来,apparently,NOUN
真实,true,NOUN
真理,truth,NOUN
着凉,to catch cold,NOUN
睁,to open (one's eyes),NOUN
瞎,blind,NOUN
瞧,to look at,NOUN
矛盾,contradictory,NOUN
短信,text message,NOUN
石头,stone,NOUN
矿泉水,mineral spring water,NOUN
砍,to chop,NOUN
破产,to go bankrupt,NOUN
破坏,destruction,NOUN
硬件,hardware,NOUN
硬币,coin,NOUN
确定,definite,NOUN
确认,to confirm,NOUN
碎,to break down,NOUN
碰见,to run into,NOUN
磁带,magnetic tape,NOUN
礼拜天,Sunday,NOUN
祖先,ancestor,NOUN
祖国,ancestral land CL:個|个[gè],NOUN
祝福,blessings,NOUN
神秘,mysterious,NOUN
神经,nerve,NOUN
神话,legend,NOUN
离婚,to divorce,NOUN
私人,private,NOUN
秒,second (of time),NOUN
秘书,secretary,NOUN
秘密,secret,NOUN
秩序,order (orderly),NOUN
